url;ID;Operacion;Propiedad;Titulo;Currency;Precio;Ubicacion;Antiguedad;Superficie total;Superficie útil;Dormitorios;Baños
https://www.portalinmobiliario.com/MLC-2788483644-se-vende-propiedad-en-pleno-centro-de-punta-arenas-_JM;2788483644;Venta;Casas;Se Vende Propiedad En Pleno Centro De Punta Arenas...;CLP;600000000;Punta Arenas, Punta Arenas, Magallanes;109;229;519;13;13
https://www.portalinmobiliario.com/MLC-1497817655-hermoso-loft-a-solo-10-minutos-de-la-ciudad-_JM;1497817655;Venta;Casas;Hermoso Loft A Solo 10 Minutos De La Ciudad;CLP;155000000;Loft Del Estrecho, Punta Arenas, Magallanes;5;70;70;2;2
https://www.portalinmobiliario.com/MLC-2598391834-casa-a-la-venta-en-barrio-residencial-_JM;2598391834;Venta;Casas;Casa A La Venta En Barrio Residencial;CLP;245000000;Punta Arenas, Punta Arenas, Magallanes;172;241;141;3;2
https://www.portalinmobiliario.com/MLC-1520569765-hermosa-casa-sector-villa-el-bosque-punta-arenas-_JM;1520569765;Venta;Casas;Hermosa Casa Sector Villa El Bosque Punta Arenas;UF;27000;Punta Arenas, Punta Arenas, Magallanes;34;1614;380;4;6
https://www.portalinmobiliario.com/MLC-1528172431-casa-sector-centro-de-punta-arenas-_JM;1528172431;Venta;Casas;Casa Sector Centro De Punta Arenas;CLP;245000000;Punta Arenas, Punta Arenas, Magallanes;58;181;145;3;2
https://www.portalinmobiliario.com/MLC-1528172465-amplia-casa-en-sector-norte-punta-arenas-_JM;1528172465;Venta;Casas;Amplia Casa En Sector Norte Punta Arenas;CLP;248000000;Punta Arenas, Punta Arenas, Magallanes;34;250;215;3;2
https://www.portalinmobiliario.com/MLC-1546208603-casa-con-propio-estilo-arquitectonico-en-punta-ar-_JM;1546208603;Venta;Casas;Casa Con Propio Estilo Arquitectónico, En Punta Ar...;CLP;360000000;Punta Arenas, Punta Arenas, Magallanes;36;301;171;4;2
https://www.portalinmobiliario.com/MLC-1546271425-hermosa-casa-en-barrio-prat-_JM;1546271425;Venta;Casas;Hermosa Casa En Barrio Prat;UF;8148;Punta Arenas, Punta Arenas, Magallanes;9;200;180;4;3
https://www.portalinmobiliario.com/MLC-1551821059-casa-en-venta-sector-cerro-de-la-cruz-_JM;1551821059;Venta;Casas;Casa En Venta Sector Cerro De La Cruz;CLP;268000000;Punta Arenas, Punta Arenas, Magallanes;74;495;130;3;1
https://www.portalinmobiliario.com/MLC-1528196269-gran-casa-sector-mardones-punta-arenas-_JM;1528196269;Venta;Casas;Gran Casa Sector Mardones Punta Arenas;CLP;200000000;Punta Arenas, Punta Arenas, Magallanes;23;214;244;4;3
https://www.portalinmobiliario.com/MLC-2770363644-hermosa-casa-en-venta-punta-arenas-_JM;2770363644;Venta;Casas;Hermosa Casa En Venta, Punta Arenas;UF;7300;Punta Arenas, Punta Arenas, Magallanes;0;328;150;3;2
https://www.portalinmobiliario.com/MLC-1545909489-amplia-y-acogedora-casa-en-punta-arenas-_JM;1545909489;Venta;Casas;Amplia Y Acogedora Casa En Punta Arenas;UF;6700;Punta Arenas, Punta Arenas, Magallanes;0;400;240;6;2
https://www.portalinmobiliario.com/MLC-1527861743-casa-en-sector-norte-punta-arenas-_JM;1527861743;Venta;Casas;Casa En Sector Norte Punta Arenas;CLP;220000000;Punta Arenas, Punta Arenas, Magallanes;44;241;106;3;1
https://www.portalinmobiliario.com/MLC-2761742724-acogedora-casa-en-terrazas-del-estrecho-en-punta-a-_JM;2761742724;Venta;Casas;Acogedora Casa En Terrazas Del Estrecho En Punta A...;CLP;190000000;Punta Arenas, Punta Arenas, Magallanes;8;154;71;3;2
